Order,Family,Genus_species,English_Name,Name_Tree,Super order,Status ,n,n_Small Intestine,Body mass_Small intestine,Small Intestine_Length,n_Large Intestine,Body mass_Large Intestine,Large Intestine_Length,n_Caecum,Body mass_Ceaecum,Caecum_Length,n_Colon,Body mass_Colon,Colon_Length,n_Total Intestine,Body mass_Total Intestine,Total Intestine_Length,Source,Inv,Vend,Vect,Vfish,Vunk,Faunivory,Scav,Total_Faunivory,Fruit,Nect,Seed,Fruit/Nect/Seed,PlantO,Total_Plant,Source,Certainty,Type_I,Type_II,Latitude,Abs_Lat,Mean_Precip,Mean_Temp,Mean_AET,Mean_PET,Volant,Marine,Foregut
Rodentia,Cricetidae,Abrothrix_andinus,Andean akodont,Abrothrix_andinus_CRICETIDAE_RODENTIA,Euarchontoglires,various,72,72,0.029,46,72,0.029,12.75,72,0.029,3.31,72,0.029,9.439,72,0.029,58.80,Bozinovic et al. (1990),0.3,0,0,0,0,0.3,0,0.3,0,0,0,0,0.7,0.7,Ref_1,ABC,Herb,Omni,23.42,23.42,51.98,1.43,482.37,1242.1,0,0,1
Carnivora,Felidae,Acinonyx_jubatus,Cheetah,Acinonyx_jubatus_FELIDAE_CARNIVORA,Laurasiatheria,captive,1,1,30.000,300.46,1,30.000,57.00,1,30.000,2.10,1,30.000,54.54,1,30.000,357.00,McGrosky et al. (2016),0,100,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,4.24,4.24,51.26,23.08,595.06,1499.04,0,0,0
Rodentia,Muridae,Acomys_cahirinus,Cairo spiny mouse,Acomys_cahirinus_MURIDAE_RODENTIA,Euarchontoglires,wild,4,4,0.038,21.87,4,0.038,18.16,4,0.038,6.36,4,0.038,11.81,4,0.038,40.04,Walters et al. (2014),0,0,0,0,30,30,0,30,0,0,0,0,70,70,Ref_1,ABC,Herb,Omni,,,,,,,0,0,1
Rodentia,Muridae,Acomys_dimidiatus,Arabian spiny mouse,Acomys_dimidiatus_MURIDAE_RODENTIA,Euarchontoglires,wild,5,5,0.034,25.86,5,0.034,18.76,5,0.034,6.39,5,0.034,12.37,5,0.034,44.62,Walters et al. (2014),10,0,0,0,30,40,0,40,0,0,10,10,50,60,Ref_2,D1,Omni,Omni,25.33,25.33,11.93,22.15,171.2,1301.83,0,0,1
Rodentia,Muridae,Acomys_minous,Crete spiniy mouse,Acomys_minous_MURIDAE_RODENTIA,Euarchontoglires,captive,1,1,0.042,32.94,1,0.042,22.97,1,0.042,4.78,1,0.042,18.19,1,0.042,55.91,This study,0,0,0,0,30,30,0,30,0,0,0,0,70,70,Ref_1,ABC,Herb,Omni,35.31,35.31,51.8,16.38,,,0,0,1
Rodentia,Muridae,Acomys_spinosissimus,Spiny mouse,Acomys_spinosissimus_MURIDAE_RODENTIA,Euarchontoglires,various,12,12,0.020,19.86,12,0.020,9.14,12,0.020,3.56,12,0.020,5.58,12,0.020,29.00,"Boonzaier et al. (2013), Perrin and Curtis (1980)",0,0,0,0,30,30,0,30,0,0,0,0,70,70,Ref_1,ABC,Herb,Omni,35.31,35.31,51.8,16.38,,,0,0,1
Cetartiodactyla,Bovidae,Addax_nasomaculatus,Addax,Addax_nasomaculatus_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,14,14,87.300,1279.00,14,87.300,746.00,14,87.300,33.00,14,87.300,713.00,14,87.300,2026.00,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,20.52,20.52,5.51,26.45,130.78,1382.39,0,0,1
Cetartiodactyla,Bovidae,Aepyceros_melampus,Impala,Aepyceros_melampus_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,wild ,16,16,46.000,990.00,16,46.000,595.00,16,46.000,26.00,16,46.000,569.00,16,46.000,1585.00,Woodall and Skinner (1993),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-12.91,12.91,73.05,21.64,841.64,1480.32,0,0,1
Rodentia,Muridae,Aethomys_chrysophilus,Red rock rat,Aethomys_chrysophilus_MURIDAE_RODENTIA,Euarchontoglires,wild,8,8,0.089,38.99,8,0.089,20.57,8,0.089,7.44,8,0.089,13.13,8,0.089,59.56,Perrin and Curtis (1980),0,0,0,0,0,0,0,0,20,0,20,40,60,100,Ref_1,ABC,Herb,Herb,-16.74,16.74,66.56,21.05,756.84,1442.8,0,0,1
Carnivora,Ursidae,Ailuropoda_melanoleuca,Giant panda,Ailuropoda_melanoleuca_URSIDAE_CARNIVORA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,100.00,670.00,Chang and Li (1959),0,10,0,0,0,10,0,10,0,0,0,0,90,90,Ref_1,ABC,Herb,Herb,30.76,30.76,101.81,6.55,757.25,907.75,0,0,0
