"","Species","GBIF_ID","mean_body_mass"
"1","Abditomys latidens",2438327,268.09
"2","Abeomelomys sevia",4264979,57.89
"3","Abrawayaomys ruschii",2438820,62.99
"4","Abrocoma bennettii",2439416,265.5
"5","Abrocoma boliviensis",2439414,158
"6","Abrocoma budini",4264779,221.82
"7","Abrocoma cinerea",2439415,221.82
"8","Abrocoma famatina",4264782,221.82
"9","Abrocoma shistacea",4264778,221.82
"10","Abrocoma vaccarum",4264781,221.82
"11","Abrothrix andinus",4265099,34.625
"12","Abrothrix illuteus",4265093,47.79
"13","Abrothrix jelskii",4265098,34.5
"14","Abrothrix lanosus",4265095,25.915
"15","Abrothrix longipilis",4265092,113.65
"16","Abrothrix markhami",4265097,27
"17","Abrothrix olivaceus",4265094,27
"18","Abrothrix sanborni",4265091,24.7
"19","Acerodon celebensis",5218704,384.84
"20","Acerodon humilis",5218706,352.43
"21","Acerodon jubatus",5218703,1087.04
"22","Acerodon leucotis",5218707,352.07
"23","Acerodon mackloti",5218702,467.93
"24","Acinonyx jubatus",2435270,48286.1466666667
"25","Acomys airensis",4264831,45.2
"26","Acomys cahirinus",9800308,43.225
"27","Acomys chudeaui",4264829,45.2
"28","Acomys cineraceus",4264827,43.6
"29","Acomys dimidiatus",4264830,45.2
"30","Acomys ignitus",2438263,45.2
"31","Acomys johannis",4264828,43.6
"32","Acomys kempi",2438255,43.6
"33","Acomys louisae",2438260,27.085
"34","Acomys minous",2438264,45.2
"35","Acomys mullah",2438256,45.2
"36","Acomys nesiotes",2438261,45.2
"37","Acomys percivali",2438265,21.99
"38","Acomys russatus",2438257,53.0075
"39","Acomys seurati",4264826,45.2
"40","Acomys spinosissimus",2438266,27.005
"41","Acomys subspinosus",2438258,32.275
"42","Acomys wilsoni",2438262,20.48
"43","Aconaemys fuscus",2439653,116.4875
"44","Aconaemys porteri",4265002,120.975
"45","Aconaemys sagei",2439654,96.49
"46","Acrobates pygmaeus",5219960,13.1157088025
"47","Acrocodia indica",7818962,250000
"48","Addax nasomaculatus",2441101,93096.2266666667
"49","Aeorestes cinereus",11138256,23.7325
"50","Aepeomys lugens",2438733,37
"51","Aepyceros melampus",2441144,50050
"52","Aepyprymnus rufescens",2440030,2886.3042195
"53","Aeromys tephromelas",2437384,1187
"54","Aeromys thomasi",2437383,1430.19
"55","Aethalops aequalis",4265673,13.9
"56","Aethalops alecto",2432974,15
"57","Aethomys chrysophilus",2438176,79.7
"58","Aethomys hindei",2438169,98.495
"59","Aethomys ineptus",4264924,80.85
"60","Aethomys kaiseri",2438175,98.495
"61","Aethomys thomasi",2438174,98.495
"62","Agouti paca",2437587,8500
"63","Ailuropoda melanoleuca",2433399,117916.666666667
"64","Ailurops melanotis",5219995,7000
"65","Ailurops ursinus",5219990,7000
"66","Ailurus fulgens",5219446,4825.01
"67","Akodon aerosus",2437892,54.995
"68","Akodon affinis",2437908,24.89
"69","Akodon albiventer",2437895,28.475
"70","Akodon aliquantulus",4265085,26.725
"71","Akodon azarae",2437878,23.75
"72","Akodon bogotensis",2437911,12.99
"73","Akodon boliviensis",2437897,26.725
"74","Akodon budini",2437880,26.9
"75","Akodon cursor",2437913,39.77
"76","Akodon dayi",2437899,37.3
"77","Akodon dolores",2437882,45
"78","Akodon fumeus",2437915,26.54
"79","Akodon iniscatus",2437886,28.7
"80","Akodon juninensis",2437918,38.99
"81","Akodon kofordi",2437888,29.49
"82","Akodon latebricola",2437905,38.99
"83","Akodon lindberghi",2437890,26.4
"84","Akodon lutescens",4265087,20.69
"85","Akodon mimus",2437896,23.99
"86","Akodon molinae",2437879,35.15
"87","Akodon mollis",2437912,30.39
"88","Akodon montensis",4265083,39.7
"89","Akodon mystax",4265089,28.3
"90","Akodon neocenus",2437898,40
"91","Akodon oenos",4265084,38.65
"92","Akodon orophilus",2437883,34.69
"93","Akodon paranaensis",4265088,28.3
"94","Akodon pervalens",4265086,38.99
"95","Akodon reigi",4265081,28.3
"96","Akodon sanctipaulensis",2437885,27.7
"97","Akodon serrensis",2437917,28.3
"98","Akodon siberiae",2437902,34.6
"99","Akodon simulator",2437887,40
"100","Akodon spegazzinii",2437919,27.5
"101","Akodon subfuscus",2437904,27.5
"102","Akodon surdus",2437889,38.99
"103","Akodon sylvanus",2437906,38.99
"104","Akodon toba",2437891,40
"105","Akodon torques",2437921,34.69
"106","Akodon varius",2437922,38.65
"107","Alcelaphus buselaphus",5220185,161000
"108","Alcelaphus caama",5706330,159968.93
"109","Alcelaphus lichtensteinii",5706335,160847.83
"110","Alces alces",2440940,351000
"111","Alces americanus",4262283,359250
"112","Alionycteris paucidentata",2432970,16.24
"113","Allactaga elater",2439489,58.7
"114","Allactaga euphratica",2439484,232
"115","Allactaga major",2439483,350
"116","Allactaga sibirica",2439490,117.5
"117","Allactaga tetradactyla",2439486,52
"118","Allactaga vinogradovi",2439482,58.7
"119","Allactaga williamsi",4262923,232
"120","Allenopithecus nigroviridis",2436620,4708.125
"121","Allocebus trichotis",2436445,78.09
"122","Allochrocebus lhoesti",7416027,4700
"123","Allochrocebus preussi",8238140,5250
"124","Allocricetulus curtatus",2439189,30.7
"125","Alopex lagopus",2434532,3844.190529
"126","Alouatta belzebul",2436655,6157.91
"127","Alouatta caraya",2436652,5462.5
"128","Alouatta coibensis",2436650,5659.14
"129","Alouatta guariba",7262055,5188.33
"130","Alouatta macconnelli",7913455,6398.31
"131","Alouatta nigerrima",4267236,6157.91
"132","Alouatta palliata",2436649,6138.285
"133","Alouatta pigra",2436653,8118.015
"134","Alouatta sara",2436651,6470.755
"135","Alouatta seniculus",2436648,6230.34923666667
"136","Alticola argentatus",2438712,37.695
"137","Alticola montosa",2438721,36
"138","Alticola olchonensis",4265079,37.69
"139","Alticola roylei",2438714,36
