"","Species","mean_body_mass","class","order","family","genus","species","common_name","gestation_d","weaning_d","inter_litter_or_interbirth_interval_y","birth_or_hatching_weight_g","female_maturity_d","litter_or_clutch_size_n"
"1","Acinonyx jubatus",48286.1466666667,"Mammalia","Carnivora","Felidae","Acinonyx","jubatus","Cheetah",90.12,107,1.484599589,465.33,598.985,3.04
"2","Acomys airensis",45.2,"Mammalia","Rodentia","Muridae","Acomys","airensis","Western Saharan Spiny mouse",38,14,0.093086927,5.49,58,2.47
"3","Acomys cahirinus",43.225,"Mammalia","Rodentia","Muridae","Acomys","cahirinus","Northeast African Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"4","Acomys chudeaui",45.2,"Mammalia","Rodentia","Muridae","Acomys","chudeaui","Chudeau's Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"5","Acomys cineraceus",43.6,"Mammalia","Rodentia","Muridae","Acomys","cineraceus","Gray Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"6","Acomys dimidiatus",45.2,"Mammalia","Rodentia","Muridae","Acomys","dimidiatus","Eastern Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"7","Acomys ignitus",45.2,"Mammalia","Rodentia","Muridae","Acomys","ignitus","Fiery Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"8","Acomys johannis",43.6,"Mammalia","Rodentia","Muridae","Acomys","johannis","Johan's Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"9","Acomys kempi",43.6,"Mammalia","Rodentia","Muridae","Acomys","kempi","Kemp's Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"10","Acomys minous",45.2,"Mammalia","Rodentia","Muridae","Acomys","minous","Crete Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"11","Acomys mullah",45.2,"Mammalia","Rodentia","Muridae","Acomys","mullah","Mullah Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"12","Acomys nesiotes",45.2,"Mammalia","Rodentia","Muridae","Acomys","nesiotes","Cyprus Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"13","Acomys seurati",45.2,"Mammalia","Rodentia","Muridae","Acomys","seurati","Seurat's Spiny Mouse",38,14,0.093086927,5.49,58,2.47
"14","Addax nasomaculatus",93096.2266666667,"Mammalia","Artiodactyla","Bovidae","Addax","nasomaculatus","Addax",276,198,0.978781656,5600,947.49486,1
"15","Aepyceros melampus",50050,"Mammalia","Artiodactyla","Bovidae","Aepyceros","melampus","Impala",196.74,167,0.999315537,5304.2,477.485,1
"16","Ailuropoda melanoleuca",117916.666666667,"Mammalia","Carnivora","Ursidae","Ailuropoda","melanoleuca","Giant Panda",131.17916,182,1.624572211,109.29,2351.48536,1.54
"17","Ailurus fulgens",4825.01,"Mammalia","Carnivora","Ailuridae","Ailurus","fulgens","Red Panda",123.4374,136.935,0.999315537,102.02,571.90318,2
"18","Akodon molinae",35.15,"Mammalia","Rodentia","Cricetidae","Akodon","molinae","Molina's Akodont",23.21786,26.23966,0.082135524,2.97,28.07,3.77
"19","Alcelaphus buselaphus",161000,"Mammalia","Artiodactyla","Bovidae","Alcelaphus","buselaphus","Hartebeest",242.66,193,0.972621492,10166.67,730,1
"20","Alcelaphus caama",159968.93,"Mammalia","Artiodactyla","Bovidae","Alcelaphus","caama","Red Hartebeest",242.66,193,0.972621492,10166.67,730,1
"21","Alces alces",351000,"Mammalia","Artiodactyla","Cervidae","Alces","alces","Eurasian Elk",241.9721625,104.015,0.999315537,13009.085,711.59368,1.29
"22","Alces americanus",359250,"Mammalia","Artiodactyla","Cervidae","Alces","americanus","Moose",241.978125,108.03,0.999315537,13018.18,689.89684,1.27
"23","Alouatta caraya",5462.5,"Mammalia","Primates","Atelidae","Alouatta","caraya","Black Howler",187,195.19956,0.924873374,187.5,1215.19918,1
"24","Alouatta coibensis",5659.14,"Mammalia","Primates","Atelidae","Alouatta","coibensis","Coiba Island Howler",186,433,1.462518823,368.75,1287.4428,1
"25","Alouatta macconnelli",6398.31,"Mammalia","Primates","Atelidae","Alouatta","macconnelli","Guyanan Red Howler",190,372,1.274948665,293.42,1672.76256,1.2
"26","Alouatta palliata",6138.285,"Mammalia","Primates","Atelidae","Alouatta","palliata","Mantled Howler",186,433,1.462518823,368.75,1287.4428,1
"27","Alouatta sara",6470.755,"Mammalia","Primates","Atelidae","Alouatta","sara","Bolivian Red Howler",190,372,1.274948665,293.42,1672.76256,1.2
"28","Alouatta seniculus",6230.34923666667,"Mammalia","Primates","Atelidae","Alouatta","seniculus","Venezuelan Red Howler",190,372,1.274948665,293.42,1672.76256,1.2
"29","Ammotragus lervia",91050,"Mammalia","Artiodactyla","Bovidae","Ammotragus","lervia","Barbary Sheep",151.80744,121.872,0.604941821,4500,394.09602,1.22
"30","Antechinus agilis",20.75,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","agilis","Agile Antechinus",27.575,90,0.999315537,0.013,317.195,7.5
"31","Antechinus minimus",47.277616735,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","minimus","Swamp Antechinus",29.27,90,0.999315537,0.03,304.4,7.19
"32","Antechinus stuartii",25.674002645,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinus","stuartii","Brown Antechinus",28.15,92.5,0.999315537,0.013,294.7,6.945
"33","Antidorcas marsupialis",33490.4133333333,"Mammalia","Artiodactyla","Bovidae","Antidorcas","marsupialis","Springbok",169.49,122.96144,0.999315537,3910,213.08,1
"34","Antilocapra americana",42213.3396075,"Mammalia","Artiodactyla","Antilocapridae","Antilocapra","americana","Pronghorn",247.44468,91,0.999315537,3246.36,540.84,1.89
"35","Antilope cervicapra",37388.8888888889,"Mammalia","Artiodactyla","Bovidae","Antilope","cervicapra","Blackbuck",167.699,60,0.607200548,3848,539.33834,1
"36","Aotus lemurinus",882.666666666667,"Mammalia","Primates","Aotidae","Aotus","lemurinus","Gray-bellied Night Monkey",134.83148,76.09,0.999315537,98,755.15,1
"37","Aotus trivirgatus",875.441083316667,"Mammalia","Primates","Aotidae","Aotus","trivirgatus","Three-striped Night Monkey",142,77,0.739219713,91.18,821,1.06
"38","Apodemus agrarius",21.2,"Mammalia","Rodentia","Muridae","Apodemus","agrarius","Striped Field Mouse",20.74978,26.78368,0.05338809,1.85,76.065,5.68
"39","Apodemus alpicola",29.375,"Mammalia","Rodentia","Muridae","Apodemus","alpicola","Alpine Field Mouse",25.9353,22,0.106433949,2.4,51.41406,5.5
"40","Apodemus argenteus",23.4,"Mammalia","Rodentia","Muridae","Apodemus","argenteus","Small Japanese Field Mouse",23.43572,20.69648,0.112635181,1.5,61,5.16
"41","Apodemus chevrieri",21.2,"Mammalia","Rodentia","Muridae","Apodemus","chevrieri","Chevrier's Field Mouse",20.74978,26.78368,0.05338809,1.85,76.065,5.68
"42","Apodemus draco",23.4,"Mammalia","Rodentia","Muridae","Apodemus","draco","South China Field Mouse",23.43572,20.69648,0.112635181,1.5,71,5.18
"43","Apodemus flavicollis",28.44375,"Mammalia","Rodentia","Muridae","Apodemus","flavicollis","Yellow-necked Field Mouse",25.9353,22,0.106433949,2.4,51.41406,5.5
"44","Apodemus gurkha",29.375,"Mammalia","Rodentia","Muridae","Apodemus","gurkha","Nepalese Field Mouse",25.9353,22,0.106433949,2.4,51.41406,5.5
"45","Apodemus latronum",29.4,"Mammalia","Rodentia","Muridae","Apodemus","latronum","Large-eared Field Mouse",25.9353,22,0.106433949,2.4,51.41406,5.22
"46","Apodemus pallipes",23.39,"Mammalia","Rodentia","Muridae","Apodemus","pallipes","Himalayan Field Mouse",23.43572,20.69648,0.112635181,1.5,71,5.2
"47","Apodemus peninsulae",31.15,"Mammalia","Rodentia","Muridae","Apodemus","peninsulae","Korean Field Mouse",25.9353,22,0.106433949,2.3,51.41406,4.7
"48","Apodemus ponticus",29.375,"Mammalia","Rodentia","Muridae","Apodemus","ponticus","Caucasus Field Mouse",25.9353,22,0.106433949,2.4,51.41406,5.5
"49","Apodemus rusiges",24.8,"Mammalia","Rodentia","Muridae","Apodemus","rusiges","Kashmir Field Mouse",24.5,21.5,0.109514031,2.3,52,5.19
"50","Apodemus semotus",23.6,"Mammalia","Rodentia","Muridae","Apodemus","semotus","Taiwan Field Mouse",23.43572,20.69648,0.112635181,1.5,71,5.17
"51","Apodemus sylvaticus",23.725,"Mammalia","Rodentia","Muridae","Apodemus","sylvaticus","Long-tailed Field Mouse",23.43572,20.69648,0.112635181,1.5,71,5.18
"52","Apodemus uralensis",23.39,"Mammalia","Rodentia","Muridae","Apodemus","uralensis","Herb Field Mouse",23.43572,20.69648,0.112635181,1.5,71,5.2
"53","Arctictis binturong",13038.7475,"Mammalia","Carnivora","Viverridae","Arctictis","binturong","Binturong",92,79,0.911156742,317.35,925,2.5
"54","Arctocebus aureus",257.5,"Mammalia","Primates","Lorisidae","Arctocebus","aureus","Calabar Angwantibo",133.74,112.30884,0.385311431,29.69,298.91,1
"55","Arctocebus calabarensis",238.326170475,"Mammalia","Primates","Lorisidae","Arctocebus","calabarensis","Golden Angwantibo",133.74,112.30884,0.385311431,29.69,298.91,1
"56","Arctocephalus australis",95993.1433333333,"Mammalia","Carnivora","Otariidae","Arctocephalus","australis","South American Fur Seal",241.19,387.943,0.999315537,4250,1095.348,1
"57","Arctocephalus forsteri",67979.43,"Mammalia","Carnivora","Otariidae","Arctocephalus","forsteri","Australasian Fur Seal",239.235,360,0.999315537,4250,1459,1
"58","Arctocephalus galapagoensis",36000,"Mammalia","Carnivora","Otariidae","Arctocephalus","galapagoensis","Galapagos Fur Seal",235.9395,458.1188,1.498973306,4250,1095.75,1
"59","Arctocephalus gazella",68659.81,"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Antarctic Fur Seal",260.152,272.08,0.999315537,4420,1095.75,1
"60","Arctocephalus pusillus",136125.833333333,"Mammalia","Carnivora","Otariidae","Arctocephalus","pusillus","Brown Fur Seal",357.83,354,0.999315537,5955.56,1294.44308,1
"61","Arctocephalus townsendi",101063.71,"Mammalia","Carnivora","Otariidae","Arctocephalus","townsendi","Guadalupe Fur Seal",246.38,330,0.999315537,4574.855,1095.348,1
"62","Arctocephalus tropicalis",63058.000145,"Mammalia","Carnivora","Otariidae","Arctocephalus","tropicalis","Subantarctic Fur Seal",357.623,272.08,0.999315537,4383.705,1538.68,1.2
"63","Artibeus fraterculus",45.65,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","fraterculus","Fraternal Fruit-eating Bat",106.54,15,0.602327173,8.9,288.37,1
"64","Artibeus jamaicensis",43.925,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","jamaicensis","Jamaican Fruit-eating Bat",106.54,15,0.602327173,8.9,288.37,1
"65","Artibeus lituratus",57.9,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","lituratus","Great Fruit-eating Bat",106.54,15,0.602327173,8.9,288.37,1
"66","Artibeus obscurus",45.65,"Mammalia","Chiroptera","Phyllostomidae","Artibeus","obscurus","Dark Fruit-eating Bat",106.54,15,0.602327173,8.9,288.37,1
"67","Arvicanthis ansorgei",95.8,"Mammalia","Rodentia","Muridae","Arvicanthis","ansorgei","Sudanian Arvicanthis",22,22.827,0.088295688,4.15,51.89,5
"68","Arvicanthis niloticus",90.1,"Mammalia","Rodentia","Muridae","Arvicanthis","niloticus","African Arvicanthis",22,22.827,0.088295688,4.15,51.89,5
"69","Arvicanthis rufinus",89.84,"Mammalia","Rodentia","Muridae","Arvicanthis","rufinus","Guinean Arvicanthis",22,23,0.088295688,4.15,55.39352,4.86
"70","Arvicola amphibius",110.8625,"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Eurasian Water Vole",21.24,14,0.073921971,5.29,51,5.08
"71","Arvicola sapidus",120,"Mammalia","Rodentia","Cricetidae","Arvicola","sapidus","Southwestern Water Vole",21.60956,14.76118,0.087611225,5.86,51.21842,5.04
"72","Arvicola scherman",97.5,"Mammalia","Rodentia","Cricetidae","Arvicola","scherman","Montane Water Vole",21.30478,14.76118,0.087611225,5.43,51.21842,5.09
"73","Ateles chamek",6647.23,"Mammalia","Primates","Atelidae","Ateles","chamek","Peruvian Spider Monkey",204.46102,795.9014,2.935468857,461.67,1590.88114,1
"74","Ateles fusciceps",7545.66979066667,"Mammalia","Primates","Atelidae","Ateles","fusciceps","Black-headed Spider Monkey",227,598.51646,2.535249829,425.925,1812.34,1
"75","Ateles geoffroyi",7238.19862833333,"Mammalia","Primates","Atelidae","Ateles","geoffroyi","Geoffroy's Spider Monkey",229.185,818.675,2.762696783,426,1964.785,1
"76","Ateles paniscus",7889.58333333333,"Mammalia","Primates","Atelidae","Ateles","paniscus","Red-faced Spider Monkey",228.18,795.9014,2.93522245,461.67,1665.76228,1
"77","Atilax paludinosus",3300,"Mammalia","Carnivora","Herpestidae","Atilax","paludinosus","Marsh Mongoose",76,36,0.499657769,100,234.83,2
"78","Avahi laniger",1093.355,"Mammalia","Primates","Indridae","Avahi","laniger","Eastern Woolly Lemur",136.556,155.68694,0.999315537,32.97,873.92428,1.005
"79","Avahi occidentalis",1092.28,"Mammalia","Primates","Indridae","Avahi","occidentalis","Western Woolly Lemur",136.556,155.68694,0.999315537,32.97,873.92428,1.01
"80","Axis axis",44833.3333333333,"Mammalia","Artiodactyla","Cervidae","Axis","axis","Chital",226.745,121.872,1.166091718,3150.43,654.84,1.03
"81","Baiomys taylori",7.6825,"Mammalia","Rodentia","Cricetidae","Baiomys","taylori","Northern Pygmy Mouse",21.99,20.69648,0.064339493,1.16,59.3502,2.67
"82","Balaena mysticetus",86444444.4444444,"Mammalia","Cetacea","Balaenidae","Balaena","mysticetus","Bowhead",379.9,352,4.496919918,900000,6391.56,1
"83","Balaenoptera acutorostrata",8923972.87966667,"Mammalia","Cetacea","Balaenopteridae","Balaenoptera","acutorostrata","Common Minke Whale",306.6127,167.34,1.28659822,320000,2740,1
"84","Balaenoptera bonaerensis",7500000,"Mammalia","Cetacea","Balaenopteridae","Balaenoptera","bonaerensis","Antarctic Minke Whale",304.4,167.34,1.28659822,320000,2740,1
"85","Balaenoptera borealis",20000000,"Mammalia","Cetacea","Balaenopteridae","Balaenoptera","borealis","Sei Whale",345.9852,230.09616,1.998631075,650000,3274.59,1.01
