"","Species","Mass_g","Binomial","GBIF_ID"
"1","Abditomys latidens",268.09,"Abditomys_latidens","2438327"
"2","Abeomelomys sevia",57.89,"Abeomelomys_sevia","4264979"
"3","Abrawayaomys ruschii",62.99,"Abrawayaomys_ruschii","2438820"
"4","Abrocoma bennettii",265.5,"Abrocoma_bennettii","2439416"
"5","Abrocoma boliviensis",158,"Abrocoma_boliviensis","2439414"
"6","Abrocoma budini",221.82,"Abrocoma_budini","4264779"
"7","Abrocoma cinerea",221.82,"Abrocoma_cinerea","2439415"
"8","Abrocoma famatina",221.82,"Abrocoma_famatina","4264782"
"9","Abrocoma shistacea",221.82,"Abrocoma_shistacea","4264778"
"10","Abrocoma vaccarum",221.82,"Abrocoma_vaccarum","4264781"
"11","Abrothrix andinus",34.65,"Abrothrix_andinus","4265099"
"12","Abrothrix illuteus",47.79,"Abrothrix_illuteus","4265093"
"13","Abrothrix jelskii",34.5,"Abrothrix_jelskii","4265098"
"14","Abrothrix lanosus",25.915,"Abrothrix_lanosus","4265095"
"15","Abrothrix longipilis",185,"Abrothrix_longipilis","4265092"
"16","Abrothrix markhami",27,"Abrothrix_markhami","4265097"
"17","Abrothrix olivaceus",27,"Abrothrix_olivaceus","4265094"
"18","Abrothrix sanborni",24.7,"Abrothrix_sanborni","4265091"
"19","Acerodon celebensis",384.84,"Acerodon_celebensis","5218704"
"20","Acerodon humilis",352.43,"Acerodon_humilis","5218706"
"21","Acerodon jubatus",1087.04,"Acerodon_jubatus","5218703"
"22","Acerodon leucotis",352.07,"Acerodon_leucotis","5218707"
"23","Acerodon mackloti",467.93,"Acerodon_mackloti","5218702"
"24","Acinonyx jubatus",50577.92,"Acinonyx_jubatus","2435270"
"25","Acomys airensis",45.2,"Acomys_airensis","4264831"
"26","Acomys cahirinus",45.2,"Acomys_cahirinus","9800308"
"27","Acomys chudeaui",45.2,"Acomys_chudeaui","4264829"
"28","Acomys cineraceus",43.6,"Acomys_cineraceus","4264827"
"29","Acomys dimidiatus",45.2,"Acomys_dimidiatus","4264830"
"30","Acomys ignitus",45.2,"Acomys_ignitus","2438263"
"31","Acomys johannis",43.6,"Acomys_johannis","4264828"
"32","Acomys kempi",43.6,"Acomys_kempi","2438255"
"33","Acomys louisae",27.085,"Acomys_louisae","2438260"
"34","Acomys minous",45.2,"Acomys_minous","2438264"
"35","Acomys mullah",45.2,"Acomys_mullah","2438256"
"36","Acomys nesiotes",45.2,"Acomys_nesiotes","2438261"
"37","Acomys percivali",21.99,"Acomys_percivali","2438265"
"38","Acomys russatus",54.915,"Acomys_russatus","2438257"
"39","Acomys seurati",45.2,"Acomys_seurati","4264826"
"40","Acomys spinosissimus",27.01,"Acomys_spinosissimus","2438266"
"41","Acomys subspinosus",32.25,"Acomys_subspinosus","2438258"
"42","Acomys wilsoni",20.96,"Acomys_wilsoni","2438262"
"43","Aconaemys fuscus",120.975,"Aconaemys_fuscus","2439653"
"44","Aconaemys porteri",120.975,"Aconaemys_porteri","4265002"
"45","Aconaemys sagei",96.49,"Aconaemys_sagei","2439654"
"46","Acrobates pygmaeus",13,"Acrobates_pygmaeus","5219960"
"47","Addax nasomaculatus",94288.68,"Addax_nasomaculatus","2441101"
"48","Aeorestes cinereus",26.03,"Lasiurus_cinereus","11138256"
"49","Aepeomys lugens",37,"Aepeomys_lugens","2438733"
"50","Aepyceros melampus",52500,"Aepyceros_melampus","2441144"
"51","Aepyprymnus rufescens",2820,"Aepyprymnus_rufescens","2440030"
"52","Aeromys tephromelas",1187,"Aeromys_tephromelas","2437384"
"53","Aeromys thomasi",1430.19,"Aeromys_thomasi","2437383"
"54","Aethalops aequalis",13.9,"Aethalops_aequalis","4265673"
"55","Aethalops alecto",15,"Aethalops_alecto","2432974"
"56","Aethomys chrysophilus",79.7,"Aethomys_chrysophilus","2438176"
"57","Aethomys hindei",98.495,"Aethomys_hindei","2438169"
"58","Aethomys ineptus",80.85,"Aethomys_ineptus","4264924"
"59","Aethomys kaiseri",98.495,"Aethomys_kaiseri","2438175"
"60","Aethomys thomasi",98.495,"Aethomys_thomasi","2438174"
"61","Ailuropoda melanoleuca",117500,"Ailuropoda_melanoleuca","2433399"
"62","Ailurops melanotis",7000,"Ailurops_melanotis","5219995"
"63","Ailurops ursinus",7000,"Ailurops_ursinus","5219990"
"64","Ailurus fulgens",4747.54,"Ailurus_fulgens","5219446"
"65","Akodon aerosus",54.995,"Akodon_aerosus","2437892"
"66","Akodon affinis",24.89,"Akodon_affinis","2437908"
"67","Akodon albiventer",28.475,"Akodon_albiventer","2437895"
"68","Akodon aliquantulus",26.725,"Akodon_aliquantulus","4265085"
"69","Akodon azarae",24,"Akodon_azarae","2437878"
"70","Akodon bogotensis",12.99,"Akodon_bogotensis","2437911"
"71","Akodon boliviensis",26.725,"Akodon_boliviensis","2437897"
"72","Akodon budini",26.9,"Akodon_budini","2437880"
"73","Akodon cursor",39.77,"Akodon_cursor","2437913"
"74","Akodon dayi",37.3,"Akodon_dayi","2437899"
"75","Akodon dolores",45,"Akodon_dolores","2437882"
"76","Akodon fumeus",26.54,"Akodon_fumeus","2437915"
"77","Akodon iniscatus",28.7,"Akodon_iniscatus","2437886"
"78","Akodon juninensis",38.99,"Akodon_juninensis","2437918"
"79","Akodon kofordi",29.49,"Akodon_kofordi","2437888"
"80","Akodon latebricola",38.99,"Akodon_latebricola","2437905"
"81","Akodon lindberghi",26.4,"Akodon_lindberghi","2437890"
"82","Akodon lutescens",20.69,"Akodon_lutescens","4265087"
"83","Akodon mimus",23.99,"Akodon_mimus","2437896"
"84","Akodon molinae",35.15,"Akodon_molinae","2437879"
"85","Akodon mollis",30.39,"Akodon_mollis","2437912"
"86","Akodon montensis",39.7,"Akodon_montensis","4265083"
"87","Akodon mystax",28.3,"Akodon_mystax","4265089"
"88","Akodon neocenus",40,"Akodon_neocenus","2437898"
"89","Akodon oenos",38.65,"Akodon_oenos","4265084"
"90","Akodon orophilus",34.69,"Akodon_orophilus","2437883"
"91","Akodon paranaensis",28.3,"Akodon_paranaensis","4265088"
"92","Akodon pervalens",38.99,"Akodon_pervalens","4265086"
"93","Akodon reigi",28.3,"Akodon_reigi","4265081"
"94","Akodon sanctipaulensis",27.7,"Akodon_sanctipaulensis","2437885"
"95","Akodon serrensis",28.3,"Akodon_serrensis","2437917"
"96","Akodon siberiae",34.6,"Akodon_siberiae","2437902"
"97","Akodon simulator",40,"Akodon_simulator","2437887"
"98","Akodon spegazzinii",27.5,"Akodon_spegazzinii","2437919"
"99","Akodon subfuscus",27.5,"Akodon_subfuscus","2437904"
"100","Akodon surdus",38.99,"Akodon_surdus","2437889"
"101","Akodon sylvanus",38.99,"Akodon_sylvanus","2437906"
"102","Akodon toba",40,"Akodon_toba","2437891"
"103","Akodon torques",34.69,"Akodon_torques","2437921"
"104","Akodon varius",38.65,"Akodon_varius","2437922"
"105","Alcelaphus buselaphus",159000,"Alcelaphus_buselaphus","5220185"
"106","Alcelaphus caama",159968.93,"Alcelaphus_caama","5706330"
"107","Alcelaphus lichtensteinii",160847.83,"Alcelaphus_lichtensteinii","5706335"
"108","Alces alces",351000,"Alces_alces","2440940"
"109","Alces americanus",368500,"Alces_americanus","4262283"
"110","Alionycteris paucidentata",16.24,"Alionycteris_paucidentata","2432970"
"111","Allactaga elater",58.7,"Allactaga_elater","2439489"
"112","Allactaga euphratica",232,"Allactaga_euphratica","2439484"
"113","Allactaga major",350,"Allactaga_major","2439483"
"114","Allactaga sibirica",117.5,"Allactaga_sibirica","2439490"
"115","Allactaga tetradactyla",52,"Allactaga_tetradactyla","2439486"
"116","Allactaga vinogradovi",58.7,"Allactaga_vinogradovi","2439482"
"117","Allactaga williamsi",232,"Allactaga_williamsi","4262923"
"118","Allenopithecus nigroviridis",4690,"Allenopithecus_nigroviridis","2436620"
